Crèche	89	39	218	461	106	63	19	56	121	88	98	200	95	81	64	23	98	105	89	244
Culture	458	30	367	392	11	32	20	186	66	240	27	38	93	129	8	49	45	23	8	49
Ecole	90	121	84	107	199	39	47	43	63	104	75	196	165	108	48	31	185	392	169	142
Environnement	31	11	33	88	15	10	35	32	14	65	28	52	51	53	66	49	196	46	155	35
Sport	26	63	491	350	22	137	16	163	78	85	74	211	147	184	114	456	250	100	131	253
Voirie	318	289	89	357	74	225	197	152	79	63	86	65	58	267	35	63	47	157	247	69
